station_name,yelp_name,distance,name,latitude,longitude,available_bikes,empty_slots,category,address,rating,lat,lon
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Premier Kebap,163.498424400496,Premier Kebap,43.74495342677297,7.427207000000001,5,7,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,La Véranda,272.79107108171263,La Véranda,43.74495342677297,7.427207000000001,5,7,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
ÉGLISE,O Cantinho da Saudade,111.62058034278698,O Cantinho da Saudade,43.74495342677297,7.427207000000001,5,7,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
ÉGLISE,Restaurant Au Grain de Riz,158.26380016768357,Restaurant Au Grain de Riz,43.74495342677297,7.427207000000001,5,7,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,Os Amigos S.A.R.L,357.63843438880997,Os Amigos S.A.R.L,43.74495342677297,7.427207000000001,5,7,Restaurants,"26 Avenue Prof Langevin Res La Joconde, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Charolaise,357.63843438880997,Charolaise,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Darmigny Philippe,357.63843438880997,Darmigny Philippe,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,The Priory,258.8132147093951,The Priory,43.74495342677297,7.427207000000001,5,7,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
ÉGLISE,A L M,317.60868361614814,A L M,43.74495342677297,7.427207000000001,5,7,Restaurants,"14 bd République, 06240 Beausoleil, France",0.0,43.74263,7.42491
ÉGLISE,Srimeera,311.39014185604043,Srimeera,43.74495342677297,7.427207000000001,5,7,Restaurants,"23 bd République, 06240 Beausoleil, France",0.0,43.74271,7.42489
ÉGLISE,Chez Pascal,265.34900442334003,Chez Pascal,43.74495342677297,7.427207000000001,5,7,Restaurants,"13 bd Gén Leclerc, 06240 Beausoleil, France",3.0,43.7426114,7.4265622
ÉGLISE,Thai Garden,239.1777157076416,Thai Garden,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Gén de Gaulle, 06240 Beausoleil, France",1.5,43.74301,7.42593
ÉGLISE,Langhe Doc,320.5111624248088,Langhe Doc,43.74495342677297,7.427207000000001,5,7,Italian,"14 Boulevard de la République, 06240 Beausoleil, France",0.0,43.7425806,7.4249442
ÉGLISE,Libre Service Prichoc,370.7634512669756,Libre Service Prichoc,43.74495342677297,7.427207000000001,5,7,Fast Food,"17 boulevard République, 06240 Beausoleil, France",0.0,43.74232,7.42438
ÉGLISE,Bar du Marché,284.713760397924,Bar du Marché,43.74495342677297,7.427207000000001,5,7,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,Os Amigos S.A.R.L,357.63843438880997,Os Amigos S.A.R.L,43.74495342677297,7.427207000000001,5,7,Restaurants,"26 Avenue Prof Langevin Res La Joconde, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,A L M,317.60868361614814,A L M,43.74495342677297,7.427207000000001,5,7,Restaurants,"14 bd République, 06240 Beausoleil, France",0.0,43.74263,7.42491
ÉGLISE,Charolaise,357.63843438880997,Charolaise,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Darmigny Philippe,357.63843438880997,Darmigny Philippe,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Chez Pascal,265.34900442334003,Chez Pascal,43.74495342677297,7.427207000000001,5,7,Restaurants,"13 bd Gén Leclerc, 06240 Beausoleil, France",3.0,43.7426114,7.4265622
ÉGLISE,Langhe Doc,320.5111624248088,Langhe Doc,43.74495342677297,7.427207000000001,5,7,Italian,"14 Boulevard de la République, 06240 Beausoleil, France",0.0,43.7425806,7.4249442
ÉGLISE,Libre Service Prichoc,370.7634512669756,Libre Service Prichoc,43.74495342677297,7.427207000000001,5,7,Fast Food,"17 boulevard République, 06240 Beausoleil, France",0.0,43.74232,7.42438
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,La Véranda,272.79107108171263,La Véranda,43.74495342677297,7.427207000000001,5,7,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
ÉGLISE,Restaurant Au Grain de Riz,158.26380016768357,Restaurant Au Grain de Riz,43.74495342677297,7.427207000000001,5,7,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,The Priory,258.8132147093951,The Priory,43.74495342677297,7.427207000000001,5,7,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
ÉGLISE,Bar du Marché,284.713760397924,Bar du Marché,43.74495342677297,7.427207000000001,5,7,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
ÉGLISE,Os Amigos S.A.R.L,357.63843438880997,Os Amigos S.A.R.L,43.74495342677297,7.427207000000001,5,7,Restaurants,"26 Avenue Prof Langevin Res La Joconde, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,A L M,317.60868361614814,A L M,43.74495342677297,7.427207000000001,5,7,Restaurants,"14 bd République, 06240 Beausoleil, France",0.0,43.74263,7.42491
ÉGLISE,Charolaise,357.63843438880997,Charolaise,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Darmigny Philippe,357.63843438880997,Darmigny Philippe,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,Srimeera,311.39014185604043,Srimeera,43.74495342677297,7.427207000000001,5,7,Restaurants,"23 bd République, 06240 Beausoleil, France",0.0,43.74271,7.42489
ÉGLISE,Chez Pascal,265.34900442334003,Chez Pascal,43.74495342677297,7.427207000000001,5,7,Restaurants,"13 bd Gén Leclerc, 06240 Beausoleil, France",3.0,43.7426114,7.4265622
ÉGLISE,Thai Garden,239.1777157076416,Thai Garden,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Gén de Gaulle, 06240 Beausoleil, France",1.5,43.74301,7.42593
ÉGLISE,Langhe Doc,320.5111624248088,Langhe Doc,43.74495342677297,7.427207000000001,5,7,Italian,"14 Boulevard de la République, 06240 Beausoleil, France",0.0,43.7425806,7.4249442
ÉGLISE,Libre Service Prichoc,370.7634512669756,Libre Service Prichoc,43.74495342677297,7.427207000000001,5,7,Fast Food,"17 boulevard République, 06240 Beausoleil, France",0.0,43.74232,7.42438
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Premier Kebap,163.498424400496,Premier Kebap,43.74495342677297,7.427207000000001,5,7,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,La Véranda,272.79107108171263,La Véranda,43.74495342677297,7.427207000000001,5,7,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
ÉGLISE,O Cantinho da Saudade,111.62058034278698,O Cantinho da Saudade,43.74495342677297,7.427207000000001,5,7,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
ÉGLISE,Restaurant Au Grain de Riz,158.26380016768357,Restaurant Au Grain de Riz,43.74495342677297,7.427207000000001,5,7,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,The Priory,258.8132147093951,The Priory,43.74495342677297,7.427207000000001,5,7,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
ÉGLISE,Bar du Marché,284.713760397924,Bar du Marché,43.74495342677297,7.427207000000001,5,7,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
ÉGLISE,Bar Restaurant le Caroubier,92.29776586153271,Bar Restaurant le Caroubier,43.74495342677297,7.427207000000001,5,7,Restaurants,"35 bd République, 06240 Beausoleil, France",0.0,43.74424,7.42662
ÉGLISE,Bar Madelon,240.022651703364,Bar Madelon,43.74495342677297,7.427207000000001,5,7,Restaurants,"19 avenue Carnier, 06240 Beausoleil, France",0.0,43.7439899,7.42454
ÉGLISE,Os Amigos S.A.R.L,357.63843438880997,Os Amigos S.A.R.L,43.74495342677297,7.427207000000001,5,7,Restaurants,"26 Avenue Prof Langevin Res La Joconde, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,A L M,317.60868361614814,A L M,43.74495342677297,7.427207000000001,5,7,Restaurants,"14 bd République, 06240 Beausoleil, France",0.0,43.74263,7.42491
ÉGLISE,Charolaise,357.63843438880997,Charolaise,43.74495342677297,7.427207000000001,5,7,,"Marché Municipal, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Premier Kebap,163.498424400496,Premier Kebap,43.74495342677297,7.427207000000001,5,7,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
ÉGLISE,Apsara,413.7597976485872,Apsara,43.74495342677297,7.427207000000001,5,7,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
ÉGLISE,La Véranda,272.79107108171263,La Véranda,43.74495342677297,7.427207000000001,5,7,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
ÉGLISE,O Cantinho da Saudade,111.62058034278698,O Cantinho da Saudade,43.74495342677297,7.427207000000001,5,7,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
ÉGLISE,Restaurant Au Grain de Riz,158.26380016768357,Restaurant Au Grain de Riz,43.74495342677297,7.427207000000001,5,7,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
ÉGLISE,Mini-Bar,403.99434480033847,Mini-Bar,43.74495342677297,7.427207000000001,5,7,Restaurants,"2 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74171,7.42494
ÉGLISE,Sun and Stars,398.18733021422844,Sun and Stars,43.74495342677297,7.427207000000001,5,7,Restaurants,"15 ave Camille Blanc, 06240 Beausoleil, France",0.0,43.74195,7.42451
ÉGLISE,The Priory,258.8132147093951,The Priory,43.74495342677297,7.427207000000001,5,7,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
ÉGLISE,Bar du Marché,284.713760397924,Bar du Marché,43.74495342677297,7.427207000000001,5,7,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
ÉGLISE,Bar Restaurant le Caroubier,92.29776586153271,Bar Restaurant le Caroubier,43.74495342677297,7.427207000000001,5,7,Restaurants,"35 bd République, 06240 Beausoleil, France",0.0,43.74424,7.42662
ÉGLISE,Bar Madelon,240.022651703364,Bar Madelon,43.74495342677297,7.427207000000001,5,7,Restaurants,"19 avenue Carnier, 06240 Beausoleil, France",0.0,43.7439899,7.42454
ÉGLISE,Os Amigos S.A.R.L,357.63843438880997,Os Amigos S.A.R.L,43.74495342677297,7.427207000000001,5,7,Restaurants,"26 Avenue Prof Langevin Res La Joconde, 06240 Beausoleil, France",0.0,43.74238,7.42454
ÉGLISE,New Indian,311.19987006908474,New Indian,43.74495342677297,7.427207000000001,5,7,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
ÉGLISE,Indian Star,318.6552656678294,Indian Star,43.74495342677297,7.427207000000001,5,7,Indian,"23 Boulevard Republique Rd53, 06240 Beausoleil, France",5.0,43.742656,7.424839
ÉGLISE,Premier Kebap,163.498424400496,Premier Kebap,43.74495342677297,7.427207000000001,5,7,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
