name,category,address,rating,lat,lon
Le 16,Restaurants,"16 ave du 3 Septembre, 06320 Cap d'Ail, France",5.0,43.7216,7.40357
Le Cabanon,French,"Pointe des Douaniers, 06320 Cap d'Ail, France",2.7,43.719549,7.405253
New Saigon,Vietnamese,"4 boulevard des Moneghetti, 06240 Beausoleil, France",5.0,43.7387299,7.41641
Le Lamparo,Restaurants,"Plage Marquet, 06320 Cap D'Ail, France",2.4,43.7249,7.41165
France Pizza,Food Delivery Services,"36 ave Trois Septembre, 06320 Cap d'Ail, France",3.0,43.72452,7.40882
La Cambuse,Restaurants,"4-6 Digue du front de mer, Port de Cap d'Ail, Cap d'Ail, Alpes-Maritimes, France",4.0,43.7247,7.40891
Nuit de Saïgon,Restaurants,"24 Avenue Trois Septembre, 06320 Cap D'Ail, France",3.8,43.7250435,7.4095622
TeXtura Experience,Cocktail Bars,"Port de Cap d'Ail, 06320 Cap-d'Ail, France",0.0,43.724862,7.413592
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Fast Food,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Il Capitano,Restaurants,"Port Cap d'ail, 06320 Cap d'Ail, France",0.0,43.72505,7.41346
Deli Sushi,Restaurants,"3 bd Moneghetti, 06240 Beausoleil, France",3.5,43.7382437,7.4172757
La Merenda,Pizza,"11 ave Trois Septembre, 06320 Cap d'Ail, France",0.0,43.72736,7.4115
Number One,Pizza,"3 bd Moneghetti, 06240 Beausoleil, France",0.0,43.73807,7.41741
Yo Ness,Fast Food,"4 boulevard Moneghetti, 06240 Beausoleil, France",0.0,43.7387299,7.41641
A'Trego,Mediterranean,"Port de Cap d'Ail, 06320 Cap d'Ail, France",3.5,43.72505,7.41346
Les Oliviers,Coffee & Tea,"Port de Cap d'ail, 06320 Cap-d'Ail, France",5.0,43.724854,7.414414
La Terrasse,Italian,"Avenue St Martin, 06320 Monaco, France",4.0,43.7305826816304,7.42547103409965
Bolinas,Breakfast & Brunch,"Port de Cap d'Ail, 06320 Cap-d'Ail, France",3.0,43.726312,7.414879
Planet Sushi,Sushi Bars,"42 bd Jean Jaurès, 06300 Nice, France",2.8,43.7346103246793,7.42137582104865
World Class Restaurant,Russian,"6 avenue Marquet, 06320 Cap-d'Ail, France",0.0,43.7269139851358,7.41264168173075
A'Trego Bar,Cocktail Bars,"Port de Plaisance, 06320 Cap-d'Ail, France",0.0,43.72541,7.41677
Le 16,Restaurants,"16 ave du 3 Septembre, 06320 Cap d'Ail, France",5.0,43.7216,7.40357
Le Cabanon,French,"Pointe des Douaniers, 06320 Cap d'Ail, France",2.7,43.719549,7.405253
Twiga,Dance Clubs,"Blve.Louis II 35, 98000 Zacatecas, Mexico",4.0,43.74109026326,7.43039124163632
New Saigon,Vietnamese,"4 boulevard des Moneghetti, 06240 Beausoleil, France",5.0,43.7387299,7.41641
Docks Café,Fast Food,"Port Cap D'ail, 06320 Cap D'Ail, France",5.0,43.72505,7.41346
La Cambuse,Restaurants,"4-6 Digue du front de mer, Port de Cap d'Ail, Cap d'Ail, Alpes-Maritimes, France",4.0,43.7247,7.40891
Le Lamparo,Restaurants,"Plage Marquet, 06320 Cap D'Ail, France",2.4,43.7249,7.41165
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Fast Food,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Nuit de Saïgon,Restaurants,"24 Avenue Trois Septembre, 06320 Cap D'Ail, France",3.8,43.7250435,7.4095622
France Pizza,Food Delivery Services,"36 ave Trois Septembre, 06320 Cap d'Ail, France",3.0,43.72452,7.40882
TeXtura Experience,Cocktail Bars,"Port de Cap d'Ail, 06320 Cap-d'Ail, France",0.0,43.724862,7.413592
Star'z Pizza,Pizza,"4 ave de Villaine, 06240 Beausoleil, France",1.0,43.74078,7.42084
Le Louis XV Alain Ducasse,Desserts,"Place Du Casino, Fargo, ND 58102",3.3,43.739086861141885,7.427174189714719
Il Capitano,Restaurants,"Port Cap d'ail, 06320 Cap d'Ail, France",0.0,43.72505,7.41346
Deli Sushi,Restaurants,"3 bd Moneghetti, 06240 Beausoleil, France",3.5,43.7382437,7.4172757
La Merenda,Pizza,"11 ave Trois Septembre, 06320 Cap d'Ail, France",0.0,43.72736,7.4115
Number One,Pizza,"3 bd Moneghetti, 06240 Beausoleil, France",0.0,43.73807,7.41741
Yo Ness,Fast Food,"4 boulevard Moneghetti, 06240 Beausoleil, France",0.0,43.7387299,7.41641
Sakura Sushi Bar,Japanese,"43000 Espaly-Saint-Marcel, France",0.0,43.7394518796749,7.42495905607939
A'Trego,Mediterranean,"Port de Cap d'Ail, 06320 Cap d'Ail, France",3.5,43.72505,7.41346
Les Oliviers,Coffee & Tea,"Port de Cap d'ail, 06320 Cap-d'Ail, France",5.0,43.724854,7.414414
World Class Restaurant,Russian,"6 avenue Marquet, 06320 Cap-d'Ail, France",0.0,43.7269139851358,7.41264168173075
Bolinas,Breakfast & Brunch,"Port de Cap d'Ail, 06320 Cap-d'Ail, France",3.0,43.726312,7.414879
Docks Café,Fast Food,"Port Cap D'ail, 06320 Cap D'Ail, France",5.0,43.72505,7.41346
Planet Sushi,Sushi Bars,"42 bd Jean Jaurès, 06300 Nice, France",2.8,43.7346103246793,7.42137582104865
La Terrasse,Italian,"Avenue St Martin, 06320 Monaco, France",4.0,43.7305826816304,7.42547103409965
A'Trego Bar,Cocktail Bars,"Port de Plaisance, 06320 Cap-d'Ail, France",0.0,43.72541,7.41677
Le 16,Restaurants,"16 ave du 3 Septembre, 06320 Cap d'Ail, France",5.0,43.7216,7.40357
Le Lamparo,Restaurants,"Plage Marquet, 06320 Cap D'Ail, France",2.4,43.7249,7.41165
Le Cabanon,French,"Pointe des Douaniers, 06320 Cap d'Ail, France",2.7,43.719549,7.405253
Twiga,Dance Clubs,"Blve.Louis II 35, 98000 Zacatecas, Mexico",4.0,43.74109026326,7.43039124163632
New Saigon,Vietnamese,"4 boulevard des Moneghetti, 06240 Beausoleil, France",5.0,43.7387299,7.41641
Nuit de Saïgon,Restaurants,"24 Avenue Trois Septembre, 06320 Cap D'Ail, France",3.8,43.7250435,7.4095622
TeXtura Experience,Cocktail Bars,"Port de Cap d'Ail, 06320 Cap-d'Ail, France",0.0,43.724862,7.413592
La Merenda,Pizza,"11 ave Trois Septembre, 06320 Cap d'Ail, France",0.0,43.72736,7.4115
France Pizza,Food Delivery Services,"36 ave Trois Septembre, 06320 Cap d'Ail, France",3.0,43.72452,7.40882
La Cambuse,Restaurants,"4-6 Digue du front de mer, Port de Cap d'Ail, Cap d'Ail, Alpes-Maritimes, France",4.0,43.7247,7.40891
Il Capitano,Restaurants,"Port Cap d'ail, 06320 Cap d'Ail, France",0.0,43.72505,7.41346
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Fast Food,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
Babek Kebab,Kebab,"Laredo, TX 78045",0.0,43.73384990926642,7.421129595751689
